id,book_id,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,,,,,,,,,,,,,,,
1,2767052,Suzanne Collins,2008,The Hunger Games,eng,4.34,4780653,,,,,,,,,,,,,,,
2,3,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4.44,4602479,,,,,,,,,,,,,,,
3,41865,Stephenie Meyer,2005,Twilight,en-US,3.57,3866839,,,,,,,,,,,,,,,
4,2657,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,,,,,,,,,,,,,,,
5,4671,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,,,,,,,,,,,,,,,
6,11870085,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,,,,,,,,,,,,,,,
7,5907,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,2071616,,,,,,,,,,,,,,,
8,5107,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,,,,,,,,,,,,,,,
9,960,Dan Brown,2000,Angels & Demons ,en-CA,3.85,2001311,,,,,,,,,,,,,,,
10,1885,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490,,,,,,,,,,,,,,,
11,77203,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,1813044,,,,,,,,,,,,,,,
12,13335037,Veronica Roth,2011,Divergent,eng,4.24,1903563,,,,,,,,,,,,,,,
13,5470,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4.14,1956832,,,,,,,,,,,,,,,
14,7613,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,1881700,,,,,,,,,,,,,,,
15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666,,,,,,,,,,,,,,,
16,2429135,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4.11,1808403,,,,,,,,,,,,,,,
17,6148028,Suzanne Collins,2009,Catching Fire,eng,4.3,1831039,,,,,,,,,,,,,,,
18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823,,,,,,,,,,,,,,,
19,34,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,1766803,,,,,,,,,,,,,,,
20,7260188,Suzanne Collins,2010,Mockingjay,eng,4.03,1719760,,,,,,,,,,,,,,,
21,2,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4.46,1735368,,,,,,,,,,,,,,,
22,12232938,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,,,,,,,,,,,,,,,
