author,Art,Biography,Business,Christian,Classics,Comics,Cookbooks,Crime,Fantasy,Fiction,History,Manga,Mystery,Poetry,Psychology
Suzanne Collins,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.K. Rowling,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2777777777777778,0.2222222222222222,0.0,0.0,0.05555555555555555,0.16666666666666666
Mary GrandPre,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2777777777777778,0.2222222222222222,0.0,0.0,0.05555555555555555,0.16666666666666666
Stephenie Meyer,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
Harper Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F. Scott Fitzgerald,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
John Green,0.125,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
J.R.R. Tolkien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.D. Salinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dan Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Jane Austen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Khaled Hosseini,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0
Veronica Roth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111
George Orwell,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Erich Fromm,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0
