author,bookid,rating
Suzanne Collins,1,4.34
J.K. Rowling,2,4.44
Mary GrandPre,2,4.44
Stephenie Meyer,3,3.57
Harper Lee,4,4.25
F. Scott Fitzgerald,5,3.89
John Green,6,4.26
J.R.R. Tolkien,7,4.25
J.D. Salinger,8,3.79
Dan Brown,9,3.85
Jane Austen,10,4.24
Khaled Hosseini,11,4.26
Veronica Roth,12,4.24
George Orwell,13,4.14
Erich Fromm,13,4.14
Celal Uster,13,4.14
George Orwell,14,3.87
Anne Frank,15,4.1
Eleanor Roosevelt,15,4.1
B.M. Mooyaart-Doubleday,15,4.1
Stieg Larsson,16,4.11
Reg Keeland,16,4.11
Suzanne Collins,17,4.3
J.K. Rowling,18,4.53
Mary GrandPre,18,4.53
Rufus Beck,18,4.53
J.R.R. Tolkien,19,4.34
Suzanne Collins,20,4.03
J.K. Rowling,21,4.46
Mary GrandPre,21,4.46
Alice Sebold,22,3.77
J.K. Rowling,23,4.37
Mary GrandPre,23,4.37
J.K. Rowling,24,4.53
Mary GrandPre,24,4.53
J.K. Rowling,25,4.61
Mary GrandPre,25,4.61
Dan Brown,26,3.79
J.K. Rowling,27,4.54
Mary GrandPre,27,4.54
William Golding,28,3.64
William Shakespeare,29,3.73
Robert           Jackson,29,3.73
Gillian Flynn,30,4.03
Kathryn Stockett,31,4.45
John Steinbeck,32,3.84
Arthur Golden,33,4.08
E.L. James,34,3.67
Paulo Coelho,35,3.82
Alan R. Clarke,35,3.82
Lois Lowry,36,4.12
C.S. Lewis,37,4.19
Audrey Niffenegger,38,3.95
George R.R. Martin,39,4.45
Elizabeth Gilbert,40,3.51
Rick Riordan,41,4.23
Louisa May Alcott,42,4.04
Charlotte Bronte,43,4.1
Michael Mason,43,4.1
Nicholas Sparks,44,4.06
Yann Martel,45,3.88
Sara Gruen,46,4.07
Markus Zusak,47,4.36
Ray Bradbury,48,3.97
Stephenie Meyer,49,3.52
Shel Silverstein,50,4.29
Cassandra Clare,51,4.12
Stephenie Meyer,52,3.69
Christopher Paolini,53,3.86
Douglas Adams,54,4.2
Aldous Huxley,55,3.97
Stephenie Meyer,56,3.7
Sue Monk Kidd,57,4.01
Mark Twain,58,3.8
John Seelye,58,3.8
Guy Cardwell,58,3.8
E.B. White,59,4.15
Garth Williams,59,4.15
Rosemary Wells,59,4.15
Mark Haddon,60,3.85
Paula Hawkins,61,3.88
Philip Pullman,62,3.94
Emily Bronte,63,3.82
